medication_id,medication_name,medication_category,current_inventory,reorder_point,max_capacity,prescription_volume_30d,avg_weekly_demand,demand_trend,supplier_id,supplier_lead_time_days,supplier_reliability_score,historical_shortage_count,days_since_last_shortage,avg_stockout_duration_days,risk_label
MEDD542A6,Lisinopril 10mg,cardiovascular,914.0,206.0,2353.0,374.0,135.0,0.29,SUP006,3.0,0.945,0,309.0,0.0,0
MED20EAC4,Levetiracetam 500mg,neurological,111.0,62.0,344.0,195.0,33.0,-0.25,SUP028,7.0,0.828,3,155.0,17.5,1
MEDEB13C6,Pregabalin 75mg,analgesic,1839.0,423.0,3536.0,386.0,122.0,-0.15,SUP019,10.0,0.797,0,33.0,0.0,0
MED1BA531,Empagliflozin 10mg,diabetes,1138.0,343.0,3562.0,588.0,184.0,0.05,SUP015,3.0,0.882,0,202.0,0.0,0
MEDF2DA1F,Levetiracetam 500mg,neurological,1408.0,1679.0,3040.0,1427.0,443.0,-0.07,SUP028,8.0,0.789,1,12.0,7.7,0
MEDF890F8,Cyclophosphamide 500mg,oncology,2261.0,125.0,3200.0,260.0,50.0,0.17,SUP041,8.0,0.653,0,346.0,0.0,0
MED5CB843,Ondansetron 8mg,gastrointestinal,142.0,463.0,1675.0,2094.0,370.0,-0.25,SUP026,9.0,0.752,4,59.0,5.8,1
MED1556F9,Metoprolol Succinate 100mg,cardiovascular,284.0,668.0,927.0,1058.0,204.0,0.1,SUP007,7.0,0.819,0,216.0,0.0,0
MEDC6D1C3,Pantoprazole 40mg,gastrointestinal,292.0,719.0,2287.0,1831.0,369.0,0.23,SUP024,5.0,0.889,0,155.0,0.0,0
MED1CBFC2,Carbamazepine 200mg,neurological,2656.0,150.0,4662.0,361.0,122.0,-0.15,SUP028,10.0,0.979,1,9.0,14.0,0
MED941091,Carbamazepine 200mg,neurological,580.0,279.0,642.0,344.0,118.0,0.44,SUP028,9.0,0.851,0,365.0,0.0,0
MEDB0D1C9,Fluoxetine 20mg,psychiatric,1010.0,271.0,2269.0,449.0,81.0,-0.08,SUP034,3.0,0.86,1,138.0,1.6,0
MED18E97A,Tacrolimus 1mg,immunological,2965.0,438.0,4880.0,569.0,214.0,0.34,SUP046,11.0,0.703,0,290.0,0.0,0
MED9F97BB,Amoxicillin 875mg,antibiotic,327.0,1142.0,1352.0,1526.0,331.0,0.28,SUP001,8.0,0.879,1,153.0,2.2,0
MED83EA91,Sumatriptan 50mg,neurological,1029.0,846.0,3934.0,583.0,280.0,-0.25,SUP031,13.0,0.715,1,175.0,6.5,0
MED079B75,Doxorubicin 50mg,oncology,1202.0,178.0,2886.0,214.0,67.0,0.08,SUP043,18.0,0.672,0,262.0,0.0,0
MEDE85C53,Budesonide Inhaler,respiratory,217.0,909.0,1563.0,1149.0,269.0,0.15,SUP021,8.0,0.909,1,164.0,3.7,0
MED0E498C,Ibuprofen 600mg,analgesic,661.0,1504.0,3163.0,2394.0,400.0,-0.21,SUP016,2.0,0.92,0,301.0,0.0,0
MEDD12675,Prednisone 5mg,immunological,916.0,42.0,4102.0,77.0,19.0,0.11,SUP023,6.0,0.829,1,62.0,2.6,0
MED1CC2C8,Adalimumab 40mg,immunological,497.0,525.0,801.0,1858.0,384.0,-0.24,SUP045,19.0,0.621,1,33.0,13.3,1
MED2DEA75,Amphetamine Salt Combo 20mg,psychiatric,1080.0,455.0,1452.0,723.0,145.0,0.4,SUP039,28.0,0.565,4,55.0,11.3,1
MED7ECF53,Aspirin 81mg,analgesic,2661.0,1117.0,3368.0,1603.0,353.0,-0.12,SUP016,2.0,0.905,0,294.0,0.0,0
MED345976,Naproxen 500mg,analgesic,21.0,418.0,624.0,968.0,183.0,-0.29,SUP017,5.0,0.925,0,142.0,0.0,1
MED75E0B3,Ciprofloxacin 500mg,antibiotic,338.0,35.0,652.0,117.0,26.0,-0.2,SUP003,8.0,0.749,2,61.0,3.7,0
MEDD14A89,Escitalopram 10mg,psychiatric,3872.0,139.0,4517.0,396.0,77.0,0.48,SUP035,8.0,0.843,1,105.0,3.4,0
MEDBD4CCA,Atorvastatin 20mg,cardiovascular,1683.0,704.0,3002.0,1336.0,226.0,-0.27,SUP010,4.0,0.846,1,14.0,0.3,0
MED6F7D02,Lisinopril 10mg,cardiovascular,1389.0,605.0,3398.0,1273.0,382.0,-0.11,SUP006,3.0,0.944,0,128.0,0.0,0
MEDA6D75F,Fluoxetine 20mg,psychiatric,1140.0,339.0,3556.0,333.0,103.0,-0.11,SUP034,4.0,0.927,1,20.0,1.4,0
MED232A84,Cyclophosphamide 500mg,oncology,15.0,271.0,514.0,594.0,176.0,0.21,SUP041,22.0,0.61,2,43.0,9.0,1
MEDDEB712,Escitalopram 10mg,psychiatric,240.0,809.0,3385.0,1720.0,472.0,-0.27,SUP035,4.0,0.84,2,1.0,3.6,0
MED0D825A,Prednisone 10mg,respiratory,2276.0,903.0,2436.0,1187.0,226.0,-0.16,SUP023,3.0,0.932,1,125.0,13.8,0
MEDC199CA,Fluticasone Nasal Spray,respiratory,62.0,1052.0,579.0,1216.0,287.0,-0.21,SUP021,5.0,0.841,2,15.0,5.4,0
MEDCBBCBE,Amphetamine Salt Combo 20mg,psychiatric,465.0,350.0,4450.0,221.0,90.0,0.12,SUP039,29.0,0.551,1,48.0,11.4,1
MED2AA496,Metoprolol Succinate 100mg,cardiovascular,2333.0,134.0,3407.0,162.0,71.0,-0.03,SUP007,9.0,0.883,0,347.0,0.0,0
MED56952B,Mycophenolate 500mg,immunological,2136.0,380.0,4382.0,663.0,171.0,0.41,SUP046,12.0,0.786,2,62.0,0.9,0
MED94DBEF,Empagliflozin 10mg,diabetes,1295.0,318.0,2557.0,497.0,244.0,-0.29,SUP015,8.0,0.881,0,264.0,0.0,0
MEDECCFA3,Adalimumab 40mg,immunological,218.0,803.0,700.0,1113.0,285.0,0.25,SUP045,9.0,0.669,2,34.0,1.4,1
MED5C3254,Metoprolol Succinate 100mg,cardiovascular,646.0,379.0,3127.0,866.0,155.0,0.22,SUP007,6.0,0.928,1,78.0,4.2,0
MED21F8DD,Methotrexate 2.5mg,oncology,848.0,643.0,4643.0,463.0,163.0,-0.09,SUP040,10.0,0.688,2,68.0,11.1,1
MED8B0AE6,Clopidogrel 75mg,cardiovascular,577.0,458.0,1373.0,513.0,149.0,0.1,SUP008,5.0,0.96,0,205.0,0.0,0
MED4F9D08,Budesonide Inhaler,respiratory,416.0,185.0,4102.0,709.0,138.0,0.28,SUP021,6.0,0.79,1,71.0,5.2,1
MEDAD727D,Polyethylene Glycol 17g,gastrointestinal,536.0,501.0,1171.0,1576.0,336.0,0.47,SUP027,5.0,0.904,2,142.0,2.4,0
MED20626C,Methotrexate 2.5mg,oncology,967.0,86.0,1016.0,235.0,48.0,-0.16,SUP040,18.0,0.678,4,10.0,4.8,1
MED486525,Mycophenolate 500mg,immunological,261.0,272.0,1313.0,775.0,230.0,0.29,SUP046,11.0,0.813,2,94.0,1.7,0
MED77D307,Metronidazole 500mg,antibiotic,511.0,569.0,1820.0,1442.0,359.0,0.39,SUP002,5.0,0.926,1,144.0,3.5,0
