date,drug_name,units_sold
2023-01-01,Lisinopril 10 mg tablet,0
2023-01-01,Amlodipine 5 mg tablet,2
2023-01-01,Losartan 50 mg tablet,1
2023-01-01,Metformin 500 mg tablet,1
2023-01-01,Glipizide 5 mg tablet,0
2023-01-01,Atorvastatin 20 mg tablet,1
2023-01-01,Simvastatin 40 mg tablet,0
2023-01-01,Levothyroxine 50 mcg tablet,2
2023-01-01,Omeprazole 20 mg capsule,0
2023-01-01,Famotidine 20 mg tablet,0
2023-01-01,Albuterol HFA inhaler,1
2023-01-01,Fluticasone nasal spray,0
2023-01-01,Cetirizine 10 mg tablet,0
2023-01-01,Amoxicillin 500 mg capsule,2
2023-01-01,Amoxicillin-clavulanate 875/125 mg tablet,1
2023-01-01,Azithromycin 250 mg tablet,0
2023-01-01,Doxycycline 100 mg capsule,1
2023-01-01,Cephalexin 500 mg capsule,1
2023-01-01,Oseltamivir 75 mg capsule,0
2023-01-01,Nirmatrelvir/ritonavir 300/100 mg pack,0
2023-01-01,Prednisone 20 mg tablet,1
2023-01-01,Ibuprofen 200 mg tablet,0
2023-01-01,Acetaminophen 500 mg tablet,1
2023-01-01,Naproxen 500 mg tablet,0
2023-01-01,Gabapentin 300 mg capsule,1
2023-01-01,Sertraline 50 mg tablet,1
2023-01-01,Hydrochlorothiazide 25 mg tablet,1
2023-01-01,Insulin glargine 100 units/mL pen,0
2023-01-01,Semaglutide 0.25/0.5 mg pen,0
2023-01-01,Naloxone 4 mg nasal spray,0
2023-01-02,Lisinopril 10 mg tablet,11
2023-01-02,Amlodipine 5 mg tablet,8
2023-01-02,Losartan 50 mg tablet,5
2023-01-02,Metformin 500 mg tablet,5
2023-01-02,Glipizide 5 mg tablet,5
2023-01-02,Atorvastatin 20 mg tablet,12
2023-01-02,Simvastatin 40 mg tablet,5
2023-01-02,Levothyroxine 50 mcg tablet,4
2023-01-02,Omeprazole 20 mg capsule,10
2023-01-02,Famotidine 20 mg tablet,4
2023-01-02,Albuterol HFA inhaler,5
2023-01-02,Fluticasone nasal spray,5
2023-01-02,Cetirizine 10 mg tablet,2
2023-01-02,Amoxicillin 500 mg capsule,7
2023-01-02,Amoxicillin-clavulanate 875/125 mg tablet,3
2023-01-02,Azithromycin 250 mg tablet,6
2023-01-02,Doxycycline 100 mg capsule,4
2023-01-02,Cephalexin 500 mg capsule,7
2023-01-02,Oseltamivir 75 mg capsule,1
2023-01-02,Nirmatrelvir/ritonavir 300/100 mg pack,0
2023-01-02,Prednisone 20 mg tablet,2
2023-01-02,Ibuprofen 200 mg tablet,16
2023-01-02,Acetaminophen 500 mg tablet,23
2023-01-02,Naproxen 500 mg tablet,5
2023-01-02,Gabapentin 300 mg capsule,5
2023-01-02,Sertraline 50 mg tablet,4
2023-01-02,Hydrochlorothiazide 25 mg tablet,9
2023-01-02,Insulin glargine 100 units/mL pen,1
2023-01-02,Semaglutide 0.25/0.5 mg pen,0
2023-01-02,Naloxone 4 mg nasal spray,0
2023-01-03,Lisinopril 10 mg tablet,6
2023-01-03,Amlodipine 5 mg tablet,7
2023-01-03,Losartan 50 mg tablet,7
2023-01-03,Metformin 500 mg tablet,10
2023-01-03,Glipizide 5 mg tablet,2
2023-01-03,Atorvastatin 20 mg tablet,9
2023-01-03,Simvastatin 40 mg tablet,2
2023-01-03,Levothyroxine 50 mcg tablet,10
2023-01-03,Omeprazole 20 mg capsule,6
2023-01-03,Famotidine 20 mg tablet,2
2023-01-03,Albuterol HFA inhaler,7
2023-01-03,Fluticasone nasal spray,3
2023-01-03,Cetirizine 10 mg tablet,4
2023-01-03,Amoxicillin 500 mg capsule,8
2023-01-03,Amoxicillin-clavulanate 875/125 mg tablet,2
2023-01-03,Azithromycin 250 mg tablet,6
2023-01-03,Doxycycline 100 mg capsule,0
2023-01-03,Cephalexin 500 mg capsule,2
2023-01-03,Oseltamivir 75 mg capsule,0
2023-01-03,Nirmatrelvir/ritonavir 300/100 mg pack,0
2023-01-03,Prednisone 20 mg tablet,2
2023-01-03,Ibuprofen 200 mg tablet,7
2023-01-03,Acetaminophen 500 mg tablet,15
2023-01-03,Naproxen 500 mg tablet,7
2023-01-03,Gabapentin 300 mg capsule,7
2023-01-03,Sertraline 50 mg tablet,4
