source_id,source_name,provider,url,geography,coverage_start_year,coverage_end_year,temporal_granularity,spatial_granularity,access,model_role,focus_window,focus_window_assessment,source_notes
delphi_epidata,Delphi Epidata API,CMU Delphi Research Group,https://cmu-delphi.github.io/delphi-epidata/,US,,,signal-dependent and vintage-aware,signal-dependent,Free API,Unified entry point for ILINet NSSP claims and COVIDcast,2012-2022,not specified,Recommended starting point; vintage-aware syndromic and claims access
cdc_fluview_ilinet,CDC FluView / ILINet,CDC,https://gis.cdc.gov/grasp/fluview/fluportaldashboard.html,US,,,weekly,state and region,Free dashboard and download,Respiratory demand driver,2012-2022,not specified,State and regional ILI percentage series
cdc_nssp_ed_visits,CDC NSSP ED Visits,CDC,https://data.cdc.gov/,US,2022,,weekly,county and state,Free Socrata API,Highest-resolution syndromic demand signal,2012-2022,2022 only,Source registry points to the CDC data portal; dataset selection is required
project_tycho,Project Tycho,University of Pittsburgh,https://www.tycho.pitt.edu/,US,1888,2017,weekly,reporting location,Free API and download with account,Historical disease series,2012-2022,partial: 2012-2017,Source registry describes approximately 3.6 million records
cdc_nndss_weekly,CDC NNDSS Weekly,CDC,https://data.cdc.gov/browse?q=NNDSS,US,1996,,weekly,state,Free Socrata access,Broad notifiable-condition coverage,2012-2022,available in stated coverage,Approximately 120 conditions in the source registry
cdc_wonder,CDC WONDER,CDC,https://wonder.cdc.gov/,US,1968,,query-dependent,county,Free online query system,Outcome and demographic mortality base,2012-2022,available in stated coverage,County mortality by cause
cdc_nwss_wastewater,CDC NWSS Wastewater,CDC,https://data.cdc.gov/browse?q=wastewater,US,2020,,site and release dependent,site and county,Free Socrata access,Leading epidemiological indicator,2012-2022,partial: 2020-2022,Pathogen-level wastewater data
wastewaterscan,WastewaterSCAN,WastewaterSCAN,https://data.wastewaterscan.org/,US,,,dashboard-dependent,site and region,Free dashboard and download,Leading pathogen signal,2012-2022,not specified,Multi-pathogen wastewater data
cdc_places,CDC PLACES,CDC,https://www.cdc.gov/places/,US,,,release-dependent,census tract,Free data portal and download,Pharmacy-local chronic disease exposure weights,2012-2022,not specified,Local chronic disease prevalence estimates
brfss,BRFSS,CDC,https://www.cdc.gov/brfss/,US,1984,,annual,state,Free download,Chronic disease demand baseline,2012-2022,available in stated coverage,Behavioral and chronic disease surveillance
nchs_nhanes_nhis_meps,NHANES / NHIS / MEPS,CDC NCHS,https://www.cdc.gov/nchs/,US,,,survey and release dependent,individual and household,Free public-use files,Clinical and prescription-utilization microdata,2012-2022,not specified,Source registry groups three NCHS survey and utilization programs
hcupnet,HCUPnet,AHRQ,https://datatools.ahrq.gov/hcupnet,US,,,query-dependent,hospital and emergency-department discharge,Free online query with some paid access,Acute-care demand,2012-2022,not specified,Hospital and ED discharge statistics
seer,SEER,National Cancer Institute,https://seer.cancer.gov/,US,,,registry and release dependent,cancer registry,Free with agreement,Oncology demand,2012-2022,not specified,Cancer incidence by registry
cdc_nis_vaccination,CDC NIS vaccination coverage,CDC,https://data.cdc.gov/,US,,,annual,state,Free Socrata access,Vaccine demand,2012-2022,not specified,Source registry points to the CDC data portal; dataset selection is required
