as_of_date,facility_id,drug_name,therapeutic_class,on_hand_units,on_order_units,lead_time_days,safety_stock_units,reorder_point_units,target_stock_units,trailing_28d_avg_units
2025-12-31,AR-SYNTH-CLINIC-001,Acetaminophen 500 mg tablet,OTC analgesic,85,0,7,32,110,188,11.11
2025-12-31,AR-SYNTH-CLINIC-001,Albuterol HFA inhaler,respiratory,55,0,7,14,46,78,4.54
2025-12-31,AR-SYNTH-CLINIC-001,Amlodipine 5 mg tablet,antihypertensive,96,0,7,18,60,101,5.89
2025-12-31,AR-SYNTH-CLINIC-001,Amoxicillin 500 mg capsule,antibiotic,152,0,7,23,78,132,7.79
2025-12-31,AR-SYNTH-CLINIC-001,Amoxicillin-clavulanate 875/125 mg tablet,antibiotic,103,0,7,16,45,73,4.04
2025-12-31,AR-SYNTH-CLINIC-001,Atorvastatin 20 mg tablet,statin,49,0,7,20,64,108,6.25
2025-12-31,AR-SYNTH-CLINIC-001,Azithromycin 250 mg tablet,antibiotic,43,0,7,12,37,61,3.5
2025-12-31,AR-SYNTH-CLINIC-001,Cephalexin 500 mg capsule,antibiotic,57,0,7,11,35,59,3.43
2025-12-31,AR-SYNTH-CLINIC-001,Cetirizine 10 mg tablet,allergy,73,0,7,12,38,63,3.64
2025-12-31,AR-SYNTH-CLINIC-001,Doxycycline 100 mg capsule,antibiotic,75,0,7,12,33,53,2.93
2025-12-31,AR-SYNTH-CLINIC-001,Famotidine 20 mg tablet,GI,19,0,7,9,25,41,2.29
2025-12-31,AR-SYNTH-CLINIC-001,Fluticasone nasal spray,allergy,33,0,7,10,29,47,2.64
2025-12-31,AR-SYNTH-CLINIC-001,Gabapentin 300 mg capsule,neuropathic pain,64,0,7,14,41,67,3.75
2025-12-31,AR-SYNTH-CLINIC-001,Glipizide 5 mg tablet,diabetes,55,0,7,10,29,47,2.61
2025-12-31,AR-SYNTH-CLINIC-001,Hydrochlorothiazide 25 mg tablet,diuretic,100,0,7,14,43,71,4.07
2025-12-31,AR-SYNTH-CLINIC-001,Ibuprofen 200 mg tablet,OTC analgesic,70,0,7,26,91,155,9.18
2025-12-31,AR-SYNTH-CLINIC-001,Insulin glargine 100 units/mL pen,insulin,13,0,7,5,12,18,0.89
2025-12-31,AR-SYNTH-CLINIC-001,Levothyroxine 50 mcg tablet,thyroid,68,0,7,13,42,71,4.11
2025-12-31,AR-SYNTH-CLINIC-001,Lisinopril 10 mg tablet,ACE inhibitor,136,0,7,22,70,118,6.86
2025-12-31,AR-SYNTH-CLINIC-001,Losartan 50 mg tablet,ARB,108,0,7,15,46,77,4.43
2025-12-31,AR-SYNTH-CLINIC-001,Metformin 500 mg tablet,diabetes,62,0,7,25,81,137,7.96
2025-12-31,AR-SYNTH-CLINIC-001,Naloxone 4 mg nasal spray,opioid antagonist,9,0,7,4,8,12,0.54
2025-12-31,AR-SYNTH-CLINIC-001,Naproxen 500 mg tablet,NSAID,57,0,7,13,36,59,3.29
2025-12-31,AR-SYNTH-CLINIC-001,Nirmatrelvir/ritonavir 300/100 mg pack,COVID antiviral,7,0,7,2,4,6,0.25
2025-12-31,AR-SYNTH-CLINIC-001,Omeprazole 20 mg capsule,GI,135,0,7,17,57,96,5.64
2025-12-31,AR-SYNTH-CLINIC-001,Oseltamivir 75 mg capsule,antiviral,5,0,7,3,6,9,0.43
2025-12-31,AR-SYNTH-CLINIC-001,Prednisone 20 mg tablet,steroid,35,0,7,11,30,49,2.71
2025-12-31,AR-SYNTH-CLINIC-001,Semaglutide 0.25/0.5 mg pen,GLP-1,4,0,7,2,3,4,0.11
2025-12-31,AR-SYNTH-CLINIC-001,Sertraline 50 mg tablet,SSRI,87,0,7,16,46,75,4.18
2025-12-31,AR-SYNTH-CLINIC-001,Simvastatin 40 mg tablet,statin,52,0,7,8,23,37,2.04
